y,x1,x2,x3,x4,x5,x6
13,61.2,0.9105,659,1054,2.2,958
11.1,66.1,0.8738,657,1062,2,960
10.1,69.8,0.8619,764,1063,1.8,972
11.6,61,0.8299,667,1005,1.1,911
10.1,64.5,0.7968,667,1002,1.2,923
9.3,67.9,0.7969,856,1068,2.4,981
10.1,64.3,0.7934,940,1102,3.8,1038
10.4,62.7,0.7909,1406,1459,14,1370
13,53.9,0.8036,1617,1655,18.9,1471
16.4,44.6,0.8242,1694,1514,15.6,1447
19.1,36.7,0.8044,1473,1401,13.2,1329
21,30.6,0.7508,1087,1297,10.3,1197
22.1,27.6,0.7254,945,1264,9.7,1198
22.2,25.5,0.6752,905,1234,10,1171
23.6,23.2,0.6665,903,1262,10.9,1191
23.6,22.9,0.6571,1041,1292,12.3,1213
22.8,24.6,0.6736,1194,1363,14.2,1258
20.3,29.7,0.6973,1533,1611,21.6,1413
18,36,0.7345,1932,1890,30.9,1610
16.4,41.9,0.7759,2140,2028,33.5,1710
14.9,47.6,0.8003,1871,1615,19.9,1515
13.8,49.6,0.7793,1435,1227,8.4,1199
13.2,51.6,0.7765,1303,1156,6.1,1128
11.8,56.9,0.7836,1199,1144,5.7,1108
11.4,58,0.7818,1069,1087,4,1038
11.3,58,0.7742,989,1054,2.9,1004
10.7,59.6,0.7673,899,1021,2,969
9,65.4,0.7532,850,1026,1.7,938
8,68.9,0.7402,828,1008,1.6,927
7.5,70.9,0.7358,902,1060,3.3,977
7.6,69.2,0.7238,902,1054,3.6,1011
8.7,64.3,0.7257,1222,1293,10.2,1228
11.7,54.3,0.7459,1784,1809,25.2,1521
15.9,42.2,0.7553,1761,1477,16,1425
19.3,34.7,0.7681,1634,1376,13.3,1339
23.1,27.3,0.7615,1527,1351,11.9,1310
26.1,20.8,0.6959,1192,1249,10.9,1250
26.8,17.9,0.6249,1023,1192,11,1181
28.4,16,0.6095,1251,1353,17.3,1272
28.8,15.1,0.5877,1082,1188,12.4,1231
27.9,15.6,0.5782,1348,1350,17.4,1286
24.1,20.6,0.6075,1365,1408,17.5,1315
21,28,0.6904,1827,1682,26.2,1494
18.4,38.8,0.8152,1879,1677,23.1,1494
16.9,42.9,0.8222,1915,1676,23.5,1545
15.5,45,0.7895,1705,1357,13.3,1354
14.3,49.6,0.8049,1610,1283,10.5,1301
14.7,48,0.7977,1300,1158,6.3,1144
13.3,51.4,0.7821,1093,1087,4.4,1080
12.6,53.7,0.7793,986,1056,3.3,1013
11.5,56.8,0.7706,846,1017,2,966
10.1,61.9,0.7631,822,1016,1.9,959
9.8,61.8,0.7523,714,983,1.4,919
9,64.3,0.7417,838,1020,2.3,953
7.9,68.4,0.7324,1109,1178,5.9,1117
9.5,62.6,0.7444,1676,1647,18.9,1485
13.2,51,0.7704,1976,1808,26.1,1583
16.9,40.3,0.7717,1814,1490,16.2,1448
20.8,31.3,0.7617,1538,1296,10.8,1294
24.3,24.7,0.7407,1383,1273,11.1,1269
26.7,22.6,0.7785,1184,1255,10.2,1247
27.1,21.7,0.7636,1094,1312,11.9,1239
28.3,17.9,0.6769,986,1271,11.8,1199
27.8,20,0.7378,967,1277,10.9,1216
26.2,19.4,0.6491,831,1158,8.6,1131
22.7,24.4,0.6661,1182,1353,15,1300
20.2,29.3,0.686,1523,1518,21.3,1358
17.3,35.2,0.6907,1780,1690,24.8,1492
16.1,38.7,0.7023,1682,1504,18.4,1413
14.6,44.5,0.7337,1390,1224,9.1,1210
13.7,48.6,0.7555,1390,1185,8.1,1196
12.4,52.2,0.7513,1201,1123,5.9,1101
11.9,53.4,0.7414,1107,1093,5.1,1076
10.4,58.4,0.7367,1050,1099,4.5,1040
8.9,63.5,0.7268,943,1048,3.2,989
8.2,65.9,0.7168,903,1033,2.8,966
7.7,67.1,0.7074,826,1002,2,912
7.2,68.6,0.6978,878,1038,3.3,960
7.5,66.7,0.6943,996,1110,5.4,1028
8.7,61.6,0.696,1470,1467,14.5,1375
12,51,0.7131,1883,1822,26.5,1522
15.4,42.5,0.7379,1661,1542,17.6,1400
18.8,33.5,0.7186,1568,1405,14.9,1323
22.2,28.1,0.7426,1291,1262,10.3,1250
24.7,25.5,0.7785,1226,1336,12,1283
25,23.4,0.7301,841,1208,10.4,1171
25.9,21.9,0.7209,951,1323,12.9,1264
25.6,21.7,0.7039,1151,1343,15.1,1301
25.1,21.8,0.6854,1279,1366,15.8,1321
22.1,25.6,0.6728,1416,1495,20.1,1343
19.1,32.5,0.7112,1738,1702,25.6,1493
16.7,42.5,0.8002,1821,1743,24,1545
15.5,48.3,0.8439,1733,1562,18.3,1477
13.3,60.5,0.9168,1115,1255,7.2,1202
12.1,67.6,0.9539,1131,1274,6.8,1236
11.8,68.3,0.9432,1127,1245,6.8,1206
11.6,68.3,0.9314,1167,1253,6.4,1192
11.8,67.9,0.9362,809,1099,2.7,1044
12.3,65.8,0.9374,709,1109,2.9,1053
12.2,66.9,0.9496,575,1089,2.2,1023
12.1,67.3,0.948,572,1098,2.5,1005
11.8,67.1,0.9274,546,1079,1.9,959
11.9,65.6,0.9129,795,1159,3.6,1049
12.2,65.6,0.93,1268,1439,10.1,1255
12.8,64.4,0.9448,1366,1452,10.9,1285
13.4,62,0.9498,1328,1403,9.9,1254
14.5,57,0.9333,1251,1378,9.7,1253
15.8,51.3,0.9144,1127,1327,8.9,1242
17.5,46,0.9104,1066,1308,8.5,1212
19.5,40.2,0.901,867,1214,6.6,1165
21.2,35.9,0.8943,691,1169,5.4,1136
21.7,35.1,0.8993,917,1293,8.7,1233
20.5,38.4,0.9161,748,1191,5.8,1177
18.2,45.9,0.9488,968,1289,7.6,1223
16.2,53,0.9722,1420,1483,12.4,1360
15,57.6,0.9777,1530,1550,14.7,1435
14.1,60.8,0.9716,1341,1402,10.5,1305
13.2,65.6,0.9882,1160,1306,7.3,1199
13.5,63.8,0.9797,1261,1336,8.5,1217
13.6,63.4,0.9794,1132,1297,6.8,1200
13.6,63.5,0.9857,1042,1243,5.9,1150
13.4,64.8,0.988,848,1192,4.3,1086
13.2,64.8,0.9801,666,1149,3.5,1027
13,65.3,0.9704,548,1110,2.8,993
12.6,65.9,0.9583,604,1101,2.4,985
13.1,64,0.9591,520,1063,1.6,934
12.4,66.2,0.95,659,1120,2.7,977
13.3,62.4,0.946,611,1095,2.5,970
14,59.7,0.9491,756,1178,3.9,1041
15.4,54,0.9385,988,1262,6.2,1144
17,47.5,0.9146,1058,1329,8.8,1209
18.6,42.6,0.904,636,1135,4.3,1083
21.5,35,0.8886,522,1107,3.4,1063
21.3,35.6,0.8924,415,1033,2.2,988
23.1,32.1,0.8973,445,1110,3.6,1060
22.1,34.5,0.9035,515,1112,4.1,1087
21.5,35.7,0.905,678,1184,5.7,1153
19.3,41.6,0.923,825,1227,6.6,1167
17.3,47.8,0.9363,1233,1428,12.7,1370
16,54.9,0.9934,1419,1518,14.8,1403
15.6,58,1.0197,1397,1436,12.3,1364
14.8,61.3,1.025,975,1238,6.3,1111
13.8,63.4,0.9916,891,1217,5.3,1091
13.1,66.1,0.9913,945,1221,5.3,1107
13.3,66.4,1.0128,916,1217,4.7,1095
13.3,67,1.0207,770,1160,3.3,1027
13.1,68.6,1.0288,697,1153,2.7,996
12.2,72.4,1.0224,611,1118,2,955
11.6,73.8,1.0054,693,1110,1.6,947
12.9,67.5,0.999,750,1158,3,1003
12.8,68,1.0023,1053,1291,6.1,1120
13.5,63.9,0.9875,1561,1673,17.3,1476
14.7,59.8,0.9928,1920,2147,31,1653
15.9,56.6,1.0147,1583,1576,15.4,1403
18.3,49.4,1.0264,1274,1428,10.9,1241
19.8,44.2,1.0091,1083,1347,8.4,1176
21.6,39.6,1.009,924,1320,7.1,1160
23.3,35.8,1.0086,1002,1424,10,1224
23.8,33.4,0.9699,905,1332,8.2,1175
22.8,35.3,0.9693,923,1362,9.2,1235
22.8,34.9,0.9576,1123,1446,12.4,1288
20.9,39.3,0.9615,1602,1831,23.3,1512
18.6,46.4,0.9867,1878,1999,29.7,1609
17.2,52.7,1.0285,1840,1855,25.7,1537
15.3,61,1.054,1474,1537,14.3,1315
14.2,65.4,1.0497,1244,1331,8.2,1155
13.8,65.2,1.0275,937,1185,4.9,1033
13.3,65.6,0.9969,891,1221,5.9,1078
12.6,67.9,0.9886,1044,1211,5.7,1069
12.8,64.5,0.9493,792,1107,2.9,952
12.8,63.6,0.936,670,1060,1.8,910
12,65.2,0.9103,689,1046,1.2,878
10.6,70.8,0.9033,717,1064,1.6,899
10.9,69.2,0.9033,813,1095,2.5,939
10.3,70.9,0.8907,891,1130,3.8,1001
11.8,66.3,0.9174,1323,1488,13.5,1303
14.1,58.9,0.9447,1817,1945,27.8,1557
16.5,51.6,0.9601,1723,1640,18.8,1402
20.2,42.1,0.984,1656,1566,15.7,1380
21.7,39,0.9979,1539,1564,15.6,1350
23.5,35,0.9977,1294,1434,12.3,1283
23.5,34.2,0.9748,1229,1446,12.4,1293
25.5,28.3,0.9124,951,1294,9.1,1197
25.5,24.7,0.7928,819,1236,8.6,1142
22.9,29.2,0.8055,801,1233,8.4,1147
21.3,32.9,0.8209,1492,1655,20.9,1448
20.1,42.4,0.988,1692,1698,21.9,1487
18.6,46.6,0.9858,1654,1674,20.4,1476
17.4,50.6,0.9989,1287,1384,11,1282
16.4,57.2,1.0574,938,1289,6.8,1147
16.3,59.4,1.0895,973,1283,6.3,1130
16,60.2,1.0844,1087,1285,6.2,1154
15.6,61.6,1.0859,796,1190,3.5,1049
15.4,62,1.0793,830,1184,3.3,1056
15.2,63.5,1.0881,703,1158,2.5,1011
14.5,66.4,1.0919,762,1160,2.3,993
15,64.8,1.1007,705,1143,1.8,976
14.2,68.3,1.0988,867,1223,3.6,1050
14,68.6,1.0918,1122,1316,6.1,1143
15.4,63.4,1.1045,1771,1895,22.3,1606
17.8,53.3,1.0736,1874,1975,27,1592
19.4,47.5,1.061,1812,1726,19.5,1510
21.4,38.7,0.9724,1726,1513,15.8,1421
22.9,29.3,0.8077,1184,1285,10.3,1169
24.2,26.5,0.7869,1131,1315,11,1187
24.5,23.1,0.6968,1149,1291,11.9,1171
23.1,22.8,0.6346,1185,1268,11.7,1175
23.3,23.8,0.6738,1244,1311,12,1216
23.2,23.3,0.6562,1380,1299,12.3,1239
22.7,25.5,0.6944,1727,1636,23.2,1463
21,29.2,0.7192,2021,1909,32.6,1616
19.5,35.6,0.7978,2159,1906,32,1663
18.8,37.3,0.8031,1844,1500,18.8,1445
17.7,39.7,0.799,1593,1332,12.1,1293
16.7,45.2,0.8506,1651,1380,13,1354
15.9,47,0.8434,1482,1277,9.9,1251
15.1,50.2,0.8543,1384,1256,8.1,1222
15.3,49.2,0.8493,1101,1099,3.8,1044
13.1,56.1,0.8416,999,1082,3.1,1006
13.3,54.4,0.8287,895,1043,2,953
12.4,58.3,0.8364,904,1045,2.2,959
12.9,56,0.8292,851,1043,2.3,949
11.9,59.6,0.8294,1052,1128,4.9,1073
13.4,55.1,0.8444,1609,1653,19.8,1499
16.1,46.4,0.8436,1614,1523,15,1404
17.9,42.2,0.8557,1774,1572,18.1,1465
18.2,43.2,0.8926,1802,1476,15.3,1474
16,67.9,1.2217,1741,1687,17.8,1611
17.6,59.7,1.188,1830,1677,17.3,1590
20.9,43.4,1.0618,1696,1525,14.1,1422
24.1,33.3,0.9881,1257,1387,10.3,1273
22.9,35.2,0.9694,1305,1401,11,1296
22.2,36.2,0.956,1183,1383,10.3,1247
21.3,37.8,0.9462,1347,1500,14.6,1359
20.1,43.2,1.0051,1947,2021,30.8,1726
18.8,49.1,1.0538,2129,2143,35.5,1818
18.2,52.2,1.0795,1948,1818,24.2,1667
17.4,57.3,1.1288,1804,1648,17.8,1549
17,56.6,1.0902,1572,1462,11.9,1385
16.2,66.3,1.208,1426,1428,9.3,1320
15.3,73.3,1.2655,1170,1344,6.3,1205
15.2,73.3,1.2556,1000,1263,4,1099
13.9,80.4,1.2694,949,1279,4.1,1106
13.6,82.8,1.2817,905,1300,4.1,1099
13.7,82,1.277,845,1255,3.3,1042
13.7,78,1.2174,692,1190,2.5,980
14.1,75.5,1.2065,926,1321,5.4,1138
14.8,73.6,1.2331,1470,1750,17.4,1517
16,67.8,1.2276,1660,1941,22.9,1537
18.4,59.2,1.2398,1360,1494,11.1,1296
20.4,50.5,1.1954,1215,1420,9.5,1255
21.3,46.6,1.1628,1391,1578,13.6,1367
20.4,49.8,1.1765,1521,1686,17,1473
21.1,47.8,1.1813,1483,1647,15.8,1422
21.5,47.8,1.206,1380,1601,14.3,1378
21.7,47.4,1.2184,1450,1706,17.5,1446
21,49.8,1.2208,1519,1702,17.8,1473
20.4,51.9,1.2261,1684,1908,24.3,1619
19.4,56.3,1.25,1812,2008,27.2,1673
18.8,58.3,1.2514,1710,1891,23.7,1605
18.2,61,1.2634,1591,1685,16.7,1460
17.7,63.3,1.2729,1521,1596,14,1407
17.7,63.5,1.27,1353,1458,10.1,1286
17.1,66.9,1.2926,1463,1534,12.1,1372
16.8,69,1.3135,1447,1488,10.5,1312
16.6,70,1.3078,1294,1361,7.2,1205
16.1,71.3,1.2955,1172,1360,6.4,1167
16.2,71.2,1.3013,1122,1336,6,1122
16.3,69.8,1.2853,1103,1309,5.3,1126
16.1,70,1.2739,1113,1293,4.9,1121
16.1,69.5,1.2623,1109,1325,5.7,1135
16.5,68.1,1.2653,1229,1458,9,1248
17.4,65,1.2775,1404,1522,10.9,1325
18.4,60.2,1.2623,1450,1490,10.6,1347
19.1,57.5,1.2569,1393,1443,9.3,1317
21.2,48.4,1.2028,1227,1406,8.3,1243
22.3,43.9,1.1695,1040,1361,6.6,1169
23.7,39.4,1.1366,820,1264,5.1,1085
23.1,41.2,1.1523,1011,1374,7.9,1177
25.7,35.7,1.1626,1042,1382,7.7,1207
24.3,38.4,1.1503,1136,1463,10.7,1269
21.9,45.1,1.1687,1101,1456,10.5,1205
19.7,51.8,1.1779,1108,1486,10.9,1218
18.7,54.5,1.1644,1078,1387,8.4,1183
17.8,58.1,1.1742,1210,1449,10,1242
17.3,60.8,1.1885,1270,1465,10.3,1263
16.5,63.8,1.1873,1119,1362,7.2,1139
16.3,65.2,1.1982,1133,1338,6.4,1166
16.5,63.8,1.1896,1010,1275,4.3,1079
16.6,63,1.1784,894,1241,3.3,1008
16.2,64.3,1.1729,930,1267,3.9,1034
15.9,65.1,1.1654,861,1260,3.4,1001
15.8,65.4,1.1629,841,1212,2.3,977
15.8,65.9,1.1792,851,1211,2.3,986
15.6,67.7,1.1911,960,1297,4.2,1082
15.2,71.5,1.2228,926,1289,3.6,1068
14.5,80.8,1.3224,901,1344,4.4,1136
15.2,81.4,1.393,915,1369,4.6,1184
15.9,77.3,1.3838,956,1335,4.5,1179
17.5,67.1,1.3342,1019,1338,5,1182
18.1,62.8,1.2916,842,1286,3.8,1082
18.6,62.1,1.3224,612,1238,2.5,996
16.2,71.9,1.3171,544,1240,2.7,1024
15.4,75.2,1.3024,638,1256,3.5,1093
14.4,80.8,1.3182,793,1341,4.9,1170
13.8,83.5,1.3154,811,1324,4.4,1153
13.9,83.6,1.3208,896,1367,5.7,1220
14.2,82.3,1.3219,978,1393,6.3,1218
14.1,81.4,1.3046,964,1376,6,1172
14.4,79,1.2917,993,1368,6,1182
14.6,77.7,1.2834,966,1356,5.6,1160
14.4,78.6,1.2839,885,1309,4.3,1106
14.4,78,1.2741,775,1256,3,1031
14.1,79.1,1.2665,738,1247,2.8,1015
13.7,80.6,1.2528,711,1235,2.7,1003
13.9,79.6,1.2616,624,1212,2,951
13.8,79,1.2425,585,1195,1.9,938
13.9,78,1.2346,646,1201,1.9,933
14.1,77.8,1.2445,809,1260,3.1,1010
15,73.2,1.2413,828,1257,3.4,1025
16.4,67.3,1.2451,894,1308,4.9,1086
17.8,61.7,1.2436,915,1331,5.2,1111
20.8,50.4,1.2213,920,1305,5.5,1129
21.6,46.8,1.1959,807,1266,4.2,1097
23.1,41.3,1.1506,678,1223,3.3,1029
23.6,39.4,1.132,668,1289,4.8,1071
25.1,34,1.068,617,1216,4.2,1053
24.7,35.6,1.0882,598,1203,3.7,1055
24.2,38.1,1.1357,778,1294,6.2,1176
22.7,42.4,1.154,1062,1399,9.7,1293
19.6,47.8,1.0781,1224,1432,12.4,1307
17.6,54.4,1.0839,1118,1369,9.4,1163
16.2,60.6,1.1089,964,1310,7.1,1103
15.2,65.8,1.1288,1050,1310,6.1,1120
14.5,68.9,1.1298,1016,1311,6,1107
14.3,68.5,1.1122,998,1269,5,1078
14.7,66.4,1.1006,846,1181,2.9,963
13.4,70.4,1.0793,762,1148,2.2,923
14.2,65.1,1.0495,592,1087,1,853
13.7,68.2,1.0611,617,1102,1.3,883
13.7,67.8,1.0575,672,1143,1.9,921
12.9,71.8,1.0657,890,1245,4.7,1031
13.2,69.9,1.0543,1354,1632,16,1371
14.4,65.8,1.0727,1648,2005,26.3,1519
15.3,63.3,1.092,1566,1709,18.8,1409
17.7,55.6,1.112,1541,1573,14.4,1303
19.6,49.4,1.1176,1226,1425,10,1184
18.1,58.3,1.2013,1126,1525,12.1,1202
18,57.9,1.1826,1147,1519,11.7,1197
18.6,55,1.1696,1190,1516,12,1234
18.3,57.9,1.2047,1212,1550,12.3,1247
18.3,54.8,1.1403,1251,1504,12.3,1234
18.3,53.9,1.1252,1404,1671,16.7,1339
18.5,54.6,1.1515,1419,1598,15.3,1331
17.1,61.5,1.191,1328,1541,13.4,1251
16.4,62.5,1.1531,1378,1545,13.5,1267
15.2,64.2,1.0983,1159,1376,9,1145
14.6,67.3,1.1102,932,1218,4.8,1010
13.5,70.8,1.0928,942,1237,5,1025
13,71.9,1.0697,944,1224,4.9,1024
13,70.2,1.0457,798,1144,3.4,938
11.6,74.9,1.0224,776,1104,2.4,905
12.5,67.4,0.9722,636,1043,1.1,826
11.5,71.5,0.9684,678,1073,1.4,879
10.2,77.9,0.9692,754,1109,2.1,901
11,73.1,0.9554,818,1164,3.8,948
10.7,73.6,0.9439,1202,1457,12.6,1250
12.1,67.3,0.9499,1296,1533,14.7,1263
15.1,58.6,0.9982,1418,1543,15.5,1319
18.6,49.5,1.052,1293,1458,12.1,1202
20.9,42.5,1.037,1027,1308,7.9,1109
23.6,34.8,0.9986,1052,1350,9.6,1136
25.6,28.5,0.9199,875,1301,8.3,1082
26.1,26.3,0.875,815,1292,9.2,1070
26.6,24.9,0.8525,760,1252,8.4,1070
25.1,28.5,0.8932,856,1303,9.2,1123
24.1,32.1,0.9504,1258,1498,16.1,1271
21.5,39.1,0.9914,1383,1585,17.1,1304
19.3,46.2,1.023,1518,1639,19.9,1360
18.2,52.6,1.0911,1890,1536,14.9,1278
16.8,58.2,1.1022,1389,1373,8.8,1130
16,61.9,1.115,1090,1282,5.8,1066
15.3,65.4,1.126,1092,1317,6.6,1090
14.5,67.8,1.1171,954,1245,4.8,1013
14.2,68.6,1.1068,951,1230,4.1,998
13.9,68.7,1.0892,790,1169,2.5,923
13.1,72.5,1.0911,752,1144,1.7,904
12.9,72.7,1.076,708,1135,1.6,884
12.3,74.2,1.0583,782,1173,2.6,936
12.6,71.5,1.038,1011,1264,6.1,1068
12.7,69.6,1.0206,1683,1860,23.6,1531
16.8,51.6,0.9818,1341,1397,10.9,1184
20.3,40.1,0.9439,1014,1212,6.8,1064
21,37.3,0.9139,751,1119,4.9,996
21,36.9,0.9089,630,1088,4.2,984
22.8,33,0.904,565,1098,4.3,980
24,30.3,0.8925,535,1094,4,970
22.6,33.2,0.9007,471,1052,3.1,940
22.5,32.9,0.8846,512,1075,3.7,963
21.5,33.8,0.8575,527,1070,3.8,961
21.4,36.4,0.9172,690,1206,6.5,1067
20,38.9,0.8974,778,1219,7.2,1084
17.8,45.2,0.9123,872,1287,8.3,1102
16.3,47.3,0.8686,622,1095,4.4,976
16.3,44.8,0.8244,512,1012,2.3,895
15.6,47.1,0.8273,438,992,1.8,886
15.1,47.6,0.8139,443,1001,2.1,886
15.1,44.5,0.7569,392,937,1.5,848
14.6,43,0.7108,347,885,1,818
14.5,43.7,0.7163,341,882,1.1,848
13.6,46.7,0.7245,322,895,0.9,826
13.7,48.8,0.7606,323,898,0.8,818
13.5,50.6,0.7783,395,944,1.4,868
13.7,47.4,0.7412,510,979,2,901
13.7,45.9,0.7154,909,1158,6.7,1044
16.1,41,0.7435,869,1130,6.3,1030
16.1,41.5,0.7559,652,1038,4.3,965
16.5,40.8,0.757,599,1011,3.5,948
18.9,33.8,0.7312,550,981,3.6,939
19.2,29.5,0.648,518,957,4,925
19.9,26.3,0.6054,541,966,4.5,924
19.2,27,0.5934,456,911,3.3,891
19.4,25.3,0.5625,467,916,3.6,897
18.9,26.2,0.5667,508,955,4.3,939
19.3,24.7,0.5483,583,959,5.1,943
17.1,25.3,0.4881,609,951,5.5,928
15.6,26.2,0.4604,757,1003,7.4,961
13.8,30.6,0.479,539,858,3.7,867
13.1,31.7,0.4756,420,778,1.9,823
13.2,31.8,0.4798,408,793,2.1,835
13.6,30.8,0.4779,560,853,3.4,893
13.1,32,0.4817,889,951,5.8,965
12.7,33.6,0.4902,516,791,1.9,838
12.2,35.6,0.5038,391,768,1.5,835
11.9,35.6,0.4945,374,777,1.4,820
11.2,38.3,0.5099,326,742,0.9,815
11,40.5,0.5316,352,805,1.4,842
10.7,42.8,0.5489,566,863,2,884
11.1,43.3,0.572,706,922,3.1,922
14.2,36.9,0.5939,575,899,2.5,903
15.6,33.3,0.5861,505,884,2.7,899
16.3,30,0.5514,471,856,2.7,890
17,26.1,0.5036,421,834,2.7,877
19.3,22.3,0.495,389,817,2.4,867
20.5,21.9,0.5215,408,843,2.4,892
22,20.2,0.5274,382,853,2.3,889
21.7,20.9,0.5367,387,861,2.5,900
21.6,20.8,0.5292,428,873,2.9,910
21,22.3,0.5468,488,928,3.5,947
18.6,26.6,0.5631,556,958,4,947
15.5,33.9,0.5957,568,942,3.5,936
14.3,38,0.6162,546,930,2.9,925
13.5,39.4,0.6089,428,872,1.8,885
13.1,41.3,0.6184,418,881,1.8,891
13.5,37.8,0.5815,472,894,2.1,904
13.5,37.4,0.5745,544,898,2.5,929
12.7,40.8,0.5977,666,929,2.8,951
12,44.2,0.6177,679,931,2.7,938
10.5,48.7,0.6164,768,948,2.8,921
10.1,49.7,0.6122,589,914,2,850
9.6,51,0.6082,470,872,1,811
9.1,52.4,0.6074,523,901,1.3,848
8.9,52.7,0.6034,660,936,1.7,882
13.5,40,0.6168,741,949,2.4,936
17.8,30.7,0.6205,831,1004,4.1,1022
21.1,23.7,0.5875,613,931,3.4,970
24,19.3,0.5673,640,1001,5.3,1000
26.5,16.4,0.5594,631,985,5.3,996
28.7,13.7,0.5302,456,902,3.8,928
28.5,13.1,0.5002,450,890,4.2,933
30,11.1,0.4624,516,896,5.4,956
29.4,10.4,0.4192,548,898,6.3,968
28.9,9.9,0.3866,603,891,6.1,953
22.8,21.7,0.5945,597,981,4.6,1015
19.9,33,0.7608,1167,1289,11.1,1248
17.5,40.7,0.8073,1372,1200,7.9,1180
16.4,46.6,0.8642,1042,1178,6,1102
15.5,49,0.8579,1055,1173,5.8,1116
14.3,52.5,0.8497,1049,1147,5.1,1100
14.2,51.4,0.8275,816,1073,3.5,1012
13.8,51.2,0.8058,598,1002,1.9,944
12.1,56.3,0.7927,573,1002,1.5,912
11.3,58.9,0.7888,549,974,1.1,887
11.8,56,0.7743,489,958,0.8,864
10.4,59.9,0.755,578,987,1.3,888
9.5,63.1,0.7531,905,1129,4.4,1031
9.7,61.9,0.7446,1457,1600,17.4,1384
13.5,48.9,0.7553,1705,1777,22.4,1446
18.2,36.3,0.7487,1583,1375,13.6,1297
21.9,29.3,0.7568,1729,1374,13.5,1314
24.3,23.7,0.7119,1269,1264,11.4,1163
26.9,18.3,0.6406,1092,1241,12.4,1142
